id,line_itemable_id,line_itemable_type,description,long_description,quantity,rate,unit,item_order,discount,type
28,6,estimate,"Actualización de Compraventa. ","1. Registro de compraventa de inmueble ante ANATI. <br />  2. Obtención de NIT (Número de Identificación Tributaria). <br />  3. Obtención de estado de cuenta de inmueble. <br />  4. Obtención de paz y salvo.<br />  ",1.00,250.00,,1,0.00,NULL
29,13,invoice,"Actualización de Compraventa. ","1. Registro de compraventa de inmueble ante ANATI. <br />  2. Obtención de NIT (Número de Identificación Tributaria). <br />  3. Obtención de estado de cuenta de inmueble. <br />  4. Obtención de paz y salvo.",1.00,250.00,,1,0.00,NULL
30,14,invoice,"[Gasto] Registro Público","Inscripción de Escritura Pública 10243 del 18 de julio de 2019",1.00,60.00,,1,0.00,NULL
31,14,invoice,"[Gasto] Registro Público","Pago de Tasa Única Inicial",1.00,300.00,,2,0.00,NULL
32,14,invoice,"[Gasto] Notaria","Gastos de cierre",1.00,90.00,,3,0.00,NULL
33,14,invoice,"Mirador Times Square, S.A.","Honorarios Legales por incorporación de sociedad Mirador Times Square, S.A.",1.00,450.00,,4,0.00,NULL
36,7,estimate,"Honorarios por Registro de Marca Wappa en clase 25",,1.00,275.00,,1,0.00,NULL
37,7,estimate,"Gastos por registro de Marca Wappa en clase 25",,1.00,200.00,,2,0.00,NULL
38,8,estimate,"Confección de Declaración Jurada y Diligencia Notarial",,1.00,500.00,,1,0.00,NULL
39,2,estimate,"Gastos Notariales por cierre de Escritura Pública 11219",,1.00,90.00,,2,0.00,NULL
40,2,estimate,"Derechos de Registro y Pago de Primera Tasa única",,1.00,410.00,,3,0.00,NULL
41,15,invoice,"Honorarios por Constitución de Fundación de Interés Privado","Fundación Ralibar",1.00,800.00,,1,0.00,NULL
42,15,invoice,"Gastos Notariales por cierre de Escritura Pública 11219",,1.00,90.00,,2,0.00,NULL
43,15,invoice,"Derechos de Registro y Pago de Primera Tasa única",,1.00,410.00,,3,0.00,NULL
44,16,invoice,"Actualización ante el Registro Público","Pago de honorarios por confección y trámite de inscripción de acta de reunión de socios de la sociedad FJA REALTY, S. de R. L., por medio de la cual se aclara el nombre de propietario de la Finca inscrita al Folio Real No. 363295 con código de ubicación 8712, Propiedad Horizontal, de la Provincia de Panamá",1.00,350.00,,1,0.00,NULL
45,16,invoice,"PAGOS A TERCEROS","PAGOS A TERCEROS",1.00,6.00,,2,0.00,NULL
46,16,invoice,"Registro Público","Inscripción de Escritura Pública No. 11438 de la sociedada FJA REALTY S. DE R.L.<br />  Derechos de Registro",1.00,65.00,,3,0.00,NULL
47,16,invoice,Notaria,"CIERRE Y FRANQUEO DE ESCRITURA NO. 11438 DE LA SOCIEDAD FJA REALTY S DE R.L.",1.00,35.00,,4,0.00,NULL
48,16,invoice,"PAGOS A TERCEROS","INGRESO DE FORMULARIO DE CORRECCIÓN",1.00,6.00,,5,0.00,NULL
49,17,invoice,"Honorarios por Registro de Marca Wappa en clase 25",,1.00,275.00,,1,0.00,NULL
50,17,invoice,"Gastos por registro de Marca Wappa en clase 25",,1.00,200.00,,2,0.00,NULL
57,9,estimate,"PROCESO EJECUTIVO HIPOTECARIO DE BIEN INMUEBLE EN CONTRA DE GRUPO CONSTRUCTORA FENIX, S.A. y otros.
 
LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA INSCRIPCIÓN EN EL REGISTRO PÚBLICO DEL AUTO DE EMBARGO",,1.00,1879.06,,1,0.00,NULL
61,10,estimate,Honorarios,"Investigación de estado en Banistmo (Depto. Legal).",1.00,50.00,,1,0.00,NULL
62,10,estimate,Honorarios,"Seguimiento ante Juzgado Undécimo de Oficios de levantamiento e inscripción de los mismos.",1.00,40.00,,2,0.00,NULL
63,10,estimate,Honorarios,"Inscripción de Minuta de Cancelación.",1.00,350.00,,3,0.00,NULL
64,10,estimate,Honorarios,"Actualización de correo ante la DGI.",1.00,60.00,,4,0.00,NULL
65,10,estimate,Gastos,"Cierre y Franqueo de Escritura Contentiva de Minuta de Cancelación del Sr. Ervis Martins Arias",1.00,95.00,,6,0.00,NULL
66,10,estimate,Gastos,"Gastos notariales por autenticación de Poder y autorización para DGI (actualización de correo)",1.00,10.00,,7,0.00,NULL
67,10,estimate,Gastos,"Inscripción de Minuta de Cancelación ante el Registro Público de Panamá",1.00,41.00,,8,0.00,NULL
68,18,invoice,"PROCESO EJECUTIVO HIPOTECARIO DE BIEN INMUEBLE EN CONTRA DE GRUPO CONSTRUCTORA FENIX, S.A. y otros.
 
LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA INSCRIPCIÓN EN EL REGISTRO PÚBLICO DEL AUTO DE EMBARGO",,1.00,1879.06,,1,0.00,NULL
69,11,estimate,"Honorarios Profesionales por redacción, presentacion, seguimiento e implementación de reglamento de trabajo para Crystal House Corporation y para Galet S.A.",,1.00,1300.00,,1,0.00,NULL
70,11,estimate,"Autenticación ante notario de poderes, solicitudes, y certificaciones de no sindicato de ambas sociedades.",,1.00,60.00,,2,0.00,NULL
71,11,estimate,"Certificados de Registro Público de Crystal House Corporation y Galet S.A.",,2.00,50.00,,3,0.00,NULL
72,19,invoice,"Pago del 50% de honorarios por firma de Poder en Proceso de Lanzamiento por Mora (Retención de Bienes)",,1.00,375.00,,1,0.00,NULL
73,19,invoice,"Solicitud de Certificado de Finca Número 98852 (Apto. 3A P.H. PRISMA).",,1.00,30.00,,2,0.00,NULL
74,19,invoice,"Autenticación de contrato de arrendamiento con fecha de noviembre 2018",,1.00,50.00,,3,0.00,NULL
75,19,invoice,"Gastos Notariales por autenticación de poder y demanda",,1.00,20.00,,4,0.00,NULL
76,12,estimate,"Honorarios por Registro de Marca Beauty Food en Clase 43",,1.00,275.00,,1,0.00,NULL
77,12,estimate,"Gastos por Inscripción de Marca Beauty Food en clase 43",,1.00,200.00,,2,0.00,NULL
78,13,estimate,"Honorarios por Registro de Marca Maravilla Beauty Food y Diseño en Clase 43",,1.00,275.00,,1,0.00,NULL
79,13,estimate,"Gastos por Registro de Marca Maravilla Beauty Food y Diseño en clase 43",,1.00,200.00,,2,0.00,NULL
80,14,estimate,"PROCESO EJECUTIVO HIPOCETARIO DE BIEN INMUEBLE EN CONTRA DE JUAN PABLO GUTIERREZ Y FUNDACIÓN GUTIS. LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO",,1.00,2211.02,,1,0.00,NULL
81,20,invoice,"PROCESO EJECUTIVO HIPOCETARIO DE BIEN INMUEBLE EN CONTRA DE JUAN PABLO GUTIERREZ Y FUNDACIÓN GUTIS. LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO",,1.00,2211.02,,1,0.00,NULL
82,15,estimate,"Incorporación de Sociedad PARMAX CAPITAL",,1.00,1000.00,,1,0.00,NULL
84,21,invoice,"Pagos a Terceros",,1.00,500.00,,1,0.00,NULL
85,22,invoice,"[Gasto] Registro Público",,1.00,30.00,,1,0.00,NULL
86,22,invoice,Honorarios,"Obtención de certificado ante el Registro Público.",1.00,30.00,,2,0.00,NULL
88,23,invoice,"Incorporación de Sociedad PARMAX CAPITAL",,1.00,1000.00,,1,0.00,NULL
89,16,estimate,"LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO
",,1.00,2059.37,,1,0.00,NULL
90,17,estimate,"LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO",,1.00,1111.65,,1,0.00,NULL
91,24,invoice,"LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO",,1.00,1200.00,,1,0.00,NULL
92,25,invoice,"LETRA 2/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA AUTO DE EMBARGO",,1.00,1111.65,,1,0.00,NULL
93,26,invoice,"Honorarios Profesionales por redacción, presentacion, seguimiento e implementación de reglamento de trabajo para Crystal House Corporation y para Galet S.A.",,1.00,1300.00,,1,0.00,NULL
94,26,invoice,"Autenticación ante notario de poderes, solicitudes, y certificaciones de no sindicato de ambas sociedades.",,1.00,60.00,,2,0.00,NULL
95,26,invoice,"Certificados de Registro Público de Crystal House Corporation y Galet S.A.",,2.00,50.00,,3,0.00,NULL
96,18,estimate,"Solicitud de desistimiento de afiliación en Zona Franca del Barú y seguimiento de la misma",,1.00,500.00,,1,0.00,NULL
97,18,estimate,"Opinión legal referente a permiso de operación SECVA de la sociedad, y fundamento por el cual no es obligatorio afiliarse a la Zona Franca",,1.00,250.00,,2,0.00,NULL
104,19,estimate,"Revisión Contrato de Compraventa P.H. Lemon Tower",,1.00,425.00,,1,0.00,NULL
105,20,estimate,"Honorarios por Revisión de Contrato de Compraventa de Acciones",,1.00,250.00,,1,0.00,NULL
106,27,invoice,"Honorarios por Revisión de Contrato de Compraventa de Acciones",,1.00,250.00,,1,0.00,NULL
107,28,invoice,"Honorarios por confección de acta de la sociedad LECAST INC. ",,1.00,150.00,,1,0.00,NULL
108,29,invoice,"[Gasto] Notaria",,1.00,10.00,,1,0.00,NULL
109,29,invoice,"Honorarios por trámite de autenticación de cartas ante Notario Público ",,1.00,20.00,,2,0.00,NULL
110,30,invoice,"Revisión Contrato de Compraventa P.H. Lemon Tower",,1.00,425.00,,1,0.00,NULL
111,21,estimate,"Pago de Recargo de Tasa Única de la sociedad",,1.00,50.00,,1,0.00,NULL
112,21,estimate,"Derechos de Registro (Inscripción de Escritura Pública)",,1.00,65.00,,2,0.00,NULL
113,21,estimate,"Gastos Notariales y Franqueo de Escritura Pública",,1.00,59.00,,3,0.00,NULL
114,21,estimate,"Agente Residente periodo 2020",,1.00,200.00,,4,0.00,NULL
115,22,estimate,"Pago de recargo de Tasa Única de la sociedad ",,1.00,50.00,,1,0.00,NULL
116,22,estimate,"Derechos de Registro (Inscripción de Escritura Pública) ",,1.00,65.00,,2,0.00,NULL
117,22,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,3,0.00,NULL
118,22,estimate,"Agente Residente Período 2020",,1.00,200.00,,4,0.00,NULL
119,23,estimate,"Pago de recargo de Tasa única de la sociedad ",,1.00,50.00,,1,0.00,NULL
120,23,estimate,"Derechos de Registro (Inscripción de Escritura Pública) ",,1.00,65.00,,2,0.00,NULL
121,23,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,3,0.00,NULL
122,23,estimate,"Agente Residente Periodo 2020",,1.00,200.00,,4,0.00,NULL
123,24,estimate,"Pago de recargo de Tasa Única de la sociedad ",,1.00,50.00,,1,0.00,NULL
124,24,estimate,"Derechos de Registro (Inscripción de Escritura Pública) ",,1.00,65.00,,2,0.00,NULL
125,24,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,3,0.00,NULL
126,24,estimate,"Agente Residente Periodo 2020",,1.00,200.00,,4,0.00,NULL
127,25,estimate,"Pago de recargo de Tasa única de la sociedad ",,1.00,50.00,,1,0.00,NULL
128,25,estimate,"Derechos de Registro (Inscripción de Escritura Pública) ",,1.00,65.00,,2,0.00,NULL
129,25,estimate,"Agente Residente periodo 2020",,1.00,200.00,,3,0.00,NULL
130,25,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,4,0.00,NULL
131,26,estimate,"Pago de recargo de Tasa Única de la sociedad ",,1.00,50.00,,1,0.00,NULL
132,26,estimate,"Derechos de Registro (Inscripción de Escritura Pública) ",,1.00,65.00,,2,0.00,NULL
133,26,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,3,0.00,NULL
134,26,estimate,"Agente Residente periodo 2020",,1.00,200.00,,4,0.00,NULL
135,27,estimate,"Pago de recargo de Tasa Única de la sociedad ",,1.00,50.00,,1,0.00,NULL
136,27,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,2,0.00,NULL
137,27,estimate,"Derechos de Registro (Inscripción de Escritura Pública)",,1.00,65.00,,3,0.00,NULL
138,27,estimate,"Agente Residente periodo 2020",,1.00,200.00,,4,0.00,NULL
139,28,estimate,"Agente Residente periodo 2020",,1.00,200.00,,1,0.00,NULL
140,28,estimate,"Pago de recargo de Tasa Única de la sociedad ",,1.00,50.00,,2,0.00,NULL
141,28,estimate,"Gastos Notariales y Franqueo de Escritura Pública ",,1.00,59.00,,3,0.00,NULL
142,28,estimate,"Derechos de Registro (inscripción de Escritura Pública) ",,1.00,65.00,,4,0.00,NULL
143,29,estimate,"BANCO DELTA, S.A. vs. MECONTELSA, S.A.","Cobro de Letra 2/3, en concepto de medida cautelar que se solicite y comunicada a las entidades y/o empresas correspondientes.",1.00,1781.80,,1,0.00,NULL
144,29,estimate,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,2,0.00,NULL
145,31,invoice,"BANCO DELTA, S.A. vs. MECONTELSA, S.A.","Cobro de Letra 2/3, en concepto de medida cautelar que se solicite y comunicada a las entidades y/o empresas correspondientes.",1.00,1781.80,,1,0.00,NULL
146,31,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,2,0.00,NULL
147,32,invoice,"BANCO DELTA, S.A. vs. YANETH ITZEL OSSES JAEN y ELIOSEO TREJOS AIZPURUA","Cobro de Letra 2/3, contra inscripción en el registro público del auto que decreta embargo. ",1.00,1832.57,,1,0.00,NULL
148,33,invoice,"Solicitud de desistimiento de afiliación en Zona Franca del Barú y seguimiento de la misma",,1.00,500.00,,1,0.00,NULL
149,33,invoice,"Opinión legal referente a permiso de operación SECVA de la sociedad, y fundamento por el cual no es obligatorio afiliarse a la Zona Franca",,1.00,250.00,,2,0.00,NULL
150,30,estimate,"Honorarios por Inscripción de Sociedad Extranjera en Panamá",,1.00,2500.00,,1,0.00,NULL
151,30,estimate,"Gastos estimados servicios notariales ",,1.00,650.00,,2,0.00,NULL
152,30,estimate,"Gasto estimado por Franqueo de Escritura ",,1.00,120.00,,3,0.00,NULL
153,30,estimate,"Gasto  por inscripción de Escritura Pública ante el Registro Público de Panamá",,1.00,360.00,,4,0.00,NULL
154,31,estimate,"Public Registry Certificate of the Company","ASSET MANAGEMENT VENTURES S.A.",1.00,89.85,,1,0.00,NULL
155,32,estimate,"Honorarios Legales","Pago de honorarios legales por gestión de cobro al Sr. Lervi Regino Vilorio",1.00,702.00,,1,0.00,NULL
156,32,estimate,Copias,"Impresión de acuerdo de pago, copias, otros.",1.00,6.75,,2,0.00,NULL
157,32,estimate,"Llamadas a Tegucigalpa",,1.00,7.00,,3,0.00,NULL
158,32,estimate,"Gastos Varios","Visitas al comercio del Sr. Lervi Region Vilorio.",1.00,235.00,,4,0.00,NULL
159,32,estimate,"Gastos Bancarios","Envío de transferencia bancaria",1.00,35.00,,5,0.00,NULL
160,24,invoice,Notaria,"GASTOS NOTARIALES",1.00,9.00,,2,0.00,NULL
161,24,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,3,0.00,NULL
162,34,invoice,"Honorarios Profesionales","Letra 2/3 admisión de la demanda",1.00,1200.00,,1,0.00,NULL
163,34,invoice,Notaria,"Gastos Notariales",1.00,9.00,,2,0.00,NULL
164,34,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,3,0.00,NULL
165,33,estimate,"Cambio de Junta Directiva y Agente Residente","GSC REPRESENTACIONES Y SERVICIOS, S.A.",1.00,550.00,,1,0.00,NULL
166,34,estimate,"Cambio de Junta Directiva y Agente Residente","AEROLOGISTICA SOPORTE TERRESTRE, S.A.",1.00,550.00,,1,0.00,NULL
167,35,invoice,"Honorarios Legales","Pago de honorarios legales por gestión de cobro al Sr. Lervi Regino Vilorio",1.00,702.00,,1,0.00,NULL
168,35,invoice,Copias,"Impresión de acuerdo de pago, copias, otros.",1.00,6.75,,2,0.00,NULL
169,35,invoice,"Llamadas a Tegucigalpa",,1.00,7.00,,3,0.00,NULL
170,35,invoice,"Gastos Varios","Visitas al comercio del Sr. Lervi Region Vilorio.",1.00,235.00,,4,0.00,NULL
171,35,invoice,"Gastos Bancarios","Envío de transferencia bancaria",1.00,35.00,,5,0.00,NULL
172,36,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,1,0.00,NULL
173,36,invoice,Notaria,"Autenticación de Documentos",1.00,9.00,,2,0.00,NULL
174,36,invoice,"Letra 2/3 admisión de la demanda","Proceso Ejecutivo Hipotecario de bien Inmueble Banco Delta, S.A. vs. Distribuidora Comercial Meteti, S.A. y otros.",1.00,1200.00,,3,0.00,NULL
175,37,invoice,"Honorarios Profesionales letra 2/3 emisión del auto que decreta embargo e inscripción en el registro público de Panamá",,1.00,2059.37,,1,0.00,NULL
176,37,invoice,"Certificado de Registro Público",,1.00,30.00,,2,0.00,NULL
177,37,invoice,"Gastos Notariales","Autenticación de documentos",1.00,9.00,,3,0.00,NULL
178,38,invoice,"Honorarios Profesionales letra 2/3 emisión del auto que decreta embargo e inscripción en el registro público de Panamá, en el proceso ejecutivo hipotecario en contra de PEDRO ANTONIO RODRIGUEZ SERRANO. ",,1.00,2059.37,,1,0.00,NULL
179,38,invoice,"Certificado de Registro Público",,1.00,30.00,,2,0.00,NULL
180,38,invoice,"Gastos Notariales",,1.00,9.00,,3,0.00,NULL
181,35,estimate,"Cerficiado de Registro Público debidamente notariado, timbrado y apostillado de la sociedad PUEBLO NUEVO HOLDING, S.A.",,1.00,150.00,,1,0.00,NULL
182,39,invoice,"Honorarios por obtención de Certificado de Registro Público debidamente notariado, timbrado y apostillado de la sociedad PUEBLO NUEVO HOLDING, S.A.",,1.00,112.65,,1,0.00,NULL
183,39,invoice,Courier,Courier,1.00,50.00,,2,0.00,NULL
184,40,invoice,"Honorarios por solicitud de acogimiento bajo el regimen de vivienda princial de la Finca No. 11281-8706, propiedad de Fernando Guardia Quijano",,1.00,325.00,,1,0.00,NULL
185,41,invoice,"PROCESO EJECUTIVO HIPOCETARIO DE BIEN INMUEBLE EN CONTRA DE VICTOR CANO y KATHIA ODERAY GONZALEZ CABALLERO. LETRA 1/3 CORRESPONDIENTE A LOS HONORARIOS PACTADOS CONTRA FIRMA DE PODER.",,1.00,676.19,,1,0.00,NULL
186,41,invoice,"Certificado de Registro Público de la Finca.","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,2,0.00,NULL
187,41,invoice,"Certificado de Registro Público del Banco.","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,3,0.00,NULL
188,41,invoice,"Autenticación de Escritura Pública No. 18619",,1.00,85.00,,4,0.00,NULL
189,41,invoice,"Gastos de Notaria",,1.00,6.00,,5,0.00,NULL
190,42,invoice,"PROCESO EJECUTIVO HIPOTECARIO DE BIEN INMUEBLE EN CONTRA DE CONTRUCCIONES Y MANTENIMIENTO CAMIT, S.A., MITZILA DEL CARMEN GONZALEZ, ZENIDETH DEL CARMEN GONZALEZ, CARLOS ALBERTO CORRALES CORRO y PERLA MARINA CORRO PINILLA",,1.00,2534.12,,1,0.00,NULL
191,42,invoice,"Certificado de Registro Público de la Finca","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,2,0.00,NULL
192,42,invoice,"Certificado de Registro Público del Banco","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,3,0.00,NULL
193,42,invoice,"Gastos de Notaria",,1.00,6.00,,4,0.00,NULL
194,43,invoice,"Honorarios por modificación de promesa de compraventa, investigación en Registro Público, intercambio de correos con promotora.",,1.00,325.00,,1,0.00,NULL
202,44,invoice,"Honorarios por Registro de Marca Maravilla Beauty Food y Diseño en Clase 43",,1.00,275.00,,1,0.00,NULL
203,44,invoice,"Gastos por Registro de Marca Maravilla Beauty Food y Diseño en clase 43",,1.00,200.00,,2,0.00,NULL
204,45,invoice,"Honorarios por Registro de Marca Beauty Food en Clase 43",,1.00,275.00,,1,0.00,NULL
205,45,invoice,"Gastos por Inscripción de Marca Beauty Food en clase 43",,1.00,200.00,,2,0.00,NULL
206,36,estimate,"Honorarios Profesionales por registro de marca "FISH BOWL y Diseño"",,1.00,275.00,,1,0.00,NULL
207,36,estimate,"Gastos por inscripción y otros",,1.00,200.00,,2,0.00,NULL
208,46,invoice,"Honorarios Profesionales por registro de marca "FISH BOWL y Diseño"",,1.00,275.00,,1,0.00,NULL
209,46,invoice,"Gastos por inscripción y otros",,1.00,200.00,,2,0.00,NULL
210,47,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público",1.00,30.00,,1,0.00,NULL
211,47,invoice,"Certificado de Registro Público","Gasto por solicitud de certificado ante el Registro Público de la Finca No. 153920",1.00,30.00,,2,0.00,NULL
212,47,invoice,"Autenticaciòn de Poder y Documentos",,1.00,6.00,,3,0.00,NULL
213,47,invoice,Copias,,1.00,5.50,,4,0.00,NULL
214,47,invoice,"Honorarios Profesionales por cobro de 35% de los honorarios pactados dentro del Proceso Ejecutivo Hipotecario (BANCO DELTA, S.A. vs BENITA PEREZ PEREZ y EFRAIN YOEL MOJICA PEREZ",,1.00,356.44,,5,0.00,NULL
215,37,estimate,"Honorarios por registro de marca Fenomena y diseño en clase 35",,1.00,200.00,,1,0.00,NULL
216,37,estimate,"Gastos para pago de derecho de Registro de marca Fenomena y diseño en clase 35",,1.00,261.00,,2,0.00,NULL
217,48,invoice,"Cancelación de honorarios profesionales en proceso de Lanzamiento por Mora con retención de Bienes Muebles ",,1.00,375.00,,1,0.00,NULL
218,38,estimate,"Honorarios legales por incorporación de la sociedad anónima ATLAS DEVELOPERS, INC.",,1.00,550.00,,1,0.00,NULL
219,38,estimate,"Gastos de Registro Público, Notaria y pago tasa única. ",,1.00,450.00,,2,0.00,NULL
220,49,invoice,"Honorarios legales por incorporación de la sociedad anónima ATLAS DEVELOPERS, INC.",,1.00,550.00,,1,0.00,NULL
221,49,invoice,"Gastos de Registro Público, Notaria y pago tasa única. ",,1.00,450.00,,2,0.00,NULL
222,50,invoice,"Public Registry Certificate of the Company","ASSET MANAGEMENT VENTURES S.A.",1.00,30.00,,1,0.00,NULL
223,50,invoice,"Legal Fees for obtaining Public Registry Certificate",,1.00,61.81,,2,0.00,NULL
224,39,estimate,"Gastos por derechos de Registro por Cambio de Agente Residente de la sociedad TARGET AVIATION, S.A.",,1.00,65.00,,1,0.00,NULL
225,39,estimate,"Gastos por cierre de escritura pública ante Notaria",,1.00,36.00,,2,0.00,NULL
226,40,estimate,"Gastos por derechos de Registro por Cambio de Agente Residente de la sociedad SOLUCIONES EMPRESARIALES SOBIR, CORP.",,1.00,65.00,,1,0.00,NULL
227,40,estimate,"Gastos por cierre de escritura pública ante Notaria",,1.00,35.00,,2,0.00,NULL
228,40,estimate,"Anualidad 2019-2020, de Agente Residente SOLUCIONES EMPRESARIALES SOBIR, CORP.",,1.00,250.00,,3,0.00,NULL
229,40,estimate,"Gastos Bancarios",,1.00,47.82,,4,0.00,NULL
230,51,invoice,"Honorarios por registro de marca Fenomena y diseño en clase 35",,1.00,200.00,,1,0.00,NULL
231,51,invoice,"Gastos para pago de derecho de Registro de marca Fenomena y diseño en clase 35",,1.00,261.00,,2,0.00,NULL
232,41,estimate,"Honorarios profesionales por gestión ante el registro público para cancelación por número de la entrada No. 409665/2017.",,1.00,325.00,,1,0.00,NULL
233,41,estimate,"Honorarios profesionales por gestión ante el registro público para cancelación por número de la entrada No. 211480/2019.",,1.00,325.00,,2,0.00,NULL
234,41,estimate,"Derechos Registrales de Levantamiento de Secuestro",,1.00,125.00,,3,0.00,NULL
235,41,estimate,"Copias de los siguientes  Auto No. 1592 de 20 de octubre de 2017, Auto No. 1854 de 4 de diciembre de 2017, Auto No. 1958 de 18 de diciembre de 2017.",,1.00,7.50,,4,0.00,NULL
236,41,estimate,"Pagos a terceros",,1.00,15.00,,5,0.00,NULL
237,52,invoice,"Honorarios profesionales por gestión ante el registro público para cancelación por número de la entrada No. 409665/2017.","Banco Delta, S.A. vs. Construcciones y Mantenimiento Camit, S.A. y otros",1.00,325.00,,1,0.00,NULL
238,52,invoice,"Honorarios profesionales por gestión ante el registro público para cancelación por número de la entrada No. 211480/2019.","Banco Delta, S.A. vs. Construcciones y Mantenimiento Camit, S.A. y otros",1.00,325.00,,2,0.00,NULL
239,52,invoice,"Derechos Registrales de Levantamiento de Secuestro",,1.00,125.00,,3,0.00,NULL
240,52,invoice,"Copias de los siguientes  Auto No. 1592 de 20 de octubre de 2017, Auto No. 1854 de 4 de diciembre de 2017, Auto No. 1958 de 18 de diciembre de 2017.",,1.00,7.50,,4,0.00,NULL
241,52,invoice,"Pagos a terceros",,1.00,15.00,,5,0.00,NULL
