id,expense_category_id,currency_id,amount,tax_id,tax2_id,reference_no,note,name,partner_id,project_id,billable,invoice_id,payment_method_id,date,recurring_type,repeat_id,recurring,cycles,total_cycles,custom_recurring,last_recurring_date,create_invoice_billable,send_invoice_to_customer,recurring_from,date_added,added_from
31,4,1,65.0,,,,Inscripción de Escritura Pública No. 11438 de la sociedada FJA REALTY S. DE R.L. ,Derechos de Registro,12,11,1,16,,2019-08-08,,,0,0,0,0,,0,0,0,2019-08-15 15:53:52,5
32,2,1,35.0,,,,CIERRE Y FRANQUEO DE ESCRITURA NO. 11438 DE LA SOCIEDAD FJA REALTY S DE R.L. ,GASTOS NOTARIALES,12,11,1,16,,2019-08-08,,,0,0,0,0,,0,0,0,2019-08-15 15:55:06,5
33,1,1,65.0,,,,CIERRE Y FRANQUEO DE ESCRITURA PÚBLICA NO. 11219 FUNDACIÓN RALIBAR ,GASTOS NOTARIALES,5,7,1,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 16:03:55,5
34,6,1,350.0,,,,PAGO DE PRIMERA TASA ÚNICA DE FUNDACIÓN RALIBAR ,PAGO DE PRIMERA TASA ÚNICA,5,7,1,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 16:06:19,5
35,4,1,60.0,,,,PAGOS POR DERECHO DE REGISTRO DE ESCRITURA PÚBLICA NO. 11219 ,DERECHOS DE REGISTRO,5,7,1,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 16:07:22,5
36,3,1,8.0,,,,,PAGOS A TERCEROS ,5,7,1,,,2019-08-14,,,0,0,0,0,,0,0,0,2019-08-15 16:11:42,5
37,1,1,10.0,,,,Autenticación de Poder para Registro de Marca WAPPA en clase 25 ,GASTOS NOTARIALES,14,22,1,1942,,2019-08-14,,,0,0,0,0,,0,0,0,2019-08-15 17:38:40,5
38,2,1,15.0,,,,AUTENTICACIÓN DE CARTA DE RESPONSABILIDAD DE LA SRA. STELLA ALEMAN BOYD,GASTOS NOTARIALES,18,32,1,53,,2019-08-15,,,0,0,0,0,,0,0,0,2019-08-15 17:41:42,5
39,1,1,10.0,,,,AUTENTICACIÓN DE PODER,GASTOS NOTARIALES,18,32,1,53,,2019-08-15,,,0,0,0,0,,0,0,0,2019-08-15 17:42:53,5
40,1,1,50.0,,,,"COTEJO DE PASAPORTE, RECIBO DE SERVICIOS, DE FICHA Y CARNÉ DE MIGRACIÓN",GASTOS NOTARIALES,18,32,0,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 18:14:04,5
41,2,1,5.0,,,,AUTENTICACIÓN DE CARTA DE AUTORIZACIÓN DIRIGIDA AL TRIBUNAL ELECTORAL ,GASTOS NOTARIALES,18,32,0,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 18:17:08,5
42,2,1,5.0,,,,AUTENTICACIÓN PARA RETIRAR SOBRE ZIP CSS,GASTOS NOTARIALES,17,31,1,,,2019-08-13,,,0,0,0,0,,0,0,0,2019-08-15 18:18:59,5
43,3,1,20.0,,,,"MENSAJERÍA CIERRE, INSCRIPCIÓN Y RETIRO ",PAGOS A TERCEROS,5,7,1,,,2019-08-15,,,0,0,0,0,,0,0,0,2019-08-15 18:27:15,5
44,3,1,6.0,,,,,PAGOS A TERCEROS,12,11,1,16,,2019-08-16,,,0,0,0,0,,0,0,0,2019-08-16 17:36:06,5
45,4,1,30.0,,,,SOLICITUD DE CRP DE LA SOCIEDAD ORGUZ CORP. ,PAGO SOLICITUD DE CRP EN REGISTRO PÚBLICO,20,42,1,22,9,2019-08-23,,,0,0,0,0,,0,0,0,2019-08-26 16:13:57,5
46,7,1,500.0,,,3,,Honorario Defensor de Ausente ,6,35,1,21,10,2019-08-27,,,0,0,0,0,,0,0,0,2019-08-27 14:32:15,4
47,7,1,18.0,,,,SOLICITUD DE ANTECEDENTES PENALES DE LA SRA. RUBY GONGORA Y APOSTILLA DEL MISMO,PAGO CONSULADO DE COLOMBIA ,22,44,0,,,2019-08-28,,,0,0,0,0,,0,0,0,2019-08-28 12:23:40,5
48,7,1,50.0,,,,PAGO EN MIGRACIÓN DE MULTA CORRESPONDIENTE AL MES DE AGOSTO,PAGOS A TERCEROS,18,32,0,,,2019-08-27,,,0,0,0,0,,0,0,0,2019-08-29 10:23:02,5
49,9,1,50.0,,,,PAGO POR PRESENTACIÓN DE EXPEDIENTE MIGRATORIO EN CONCEPTO DE PRÓRROGA DE MARIA CONCEPCIÓN GALEAS HERRERA,PAGOS A TERCEROS,18,32,0,,,2019-08-27,,,0,0,0,0,,0,0,0,2019-08-29 10:26:57,5
50,4,1,60.0,,,,"Inscripción de Escritura Pública No. 12543 del 29 de agosto de 2019, mediante la cual se constituye la sociedad anónima PARMAX CAPITAL, INC. ",DERECHOS DE REGISTRO,21,43,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 14:41:40,5
51,2,1,14.0,,,,"CIERRE de Escritura Pública No. 12543 del 29 de agosto de 2019, mediante la cual se constituye la sociedad anónima PARMAX CAPITAL, INC.",GASTOS NOTARIALES,21,43,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 14:48:07,5
52,2,1,48.0,,,,"FRANQUEO  de Escritura Pública No. 12543 del 29 de agosto de 2019, mediante la cual se constituye la sociedad anónima PARMAX CAPITAL, INC. ",TIMBRES ,21,43,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 14:49:02,5
53,7,1,8.0,,,,GASTOS POR MENSAJERÍA ,PAGOS A TERCEROS,21,43,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 14:53:47,5
54,7,1,7.5,,,,PAGO A DIOMEDES POR PRESENTACIÓN DE SOLICITUD DE PAZ Y SALVO DE DOMÉSTICA ,PAGOS A TERCEROS,17,31,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 14:57:51,5
56,7,1,19.0,,,,COMPRA DE CERTIFICADO DE BUENA SALUD PARA MERCEDES,PAGOS A TERCEROS,17,31,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 15:00:35,5
57,7,1,7.5,,,,PAGO A DIOMEDES POR ACTUALIZACIÓN DE CORREO EN DGI ,PAGOS A TERCEROS,7,46,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 15:03:25,5
58,2,1,10.0,,,,COTEJO DE CÉDULA NICARAGÜENSE Y CONTRATO DE TRABAJO ,GASTOS NOTARIALES,17,31,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 15:07:05,5
59,6,1,300.0,,,,"PAGO DE PRIMERA TASA ÚNICA PARMAX CAPITAL, INC. ",PAGO DE PRIMERA TASA ÚNICA,21,43,1,,,2019-08-29,,,0,0,0,0,,0,0,0,2019-08-29 15:11:40,5
60,1,1,10.0,,,,AUTENTICACIÓN DE CARTAS DIRIGIDAS AL MUNICIPIO DE PANAMÁ ,GASTOS NOTARIALES,20,50,1,29,,2019-09-03,,,0,0,0,0,,0,0,0,2019-09-05 11:30:22,5
61,4,1,30.0,,,,SOLICITUD DE CERTIFICADO DE LA SOCIEDAD,SOLICITUD CERTIFICADO DE SOCIEDAD CRYSTAL HOUSE CORPORATION,4,12,1,,,2019-09-05,,,0,0,0,0,,0,0,0,2019-09-05 18:15:17,5
62,4,1,30.0,,,,"SOLICITUD DE CERTIFICADO DE LA SOCIEDAD GALET, S.A.","SOLICITUD DE CERTIFICADO DE SOCIEDAD GALET, S.A. ",4,12,1,,,2019-09-05,,,0,0,0,0,,0,0,0,2019-09-05 18:17:53,5
63,7,1,10.97,,,,,Publicación de Edicto (Art.669) en la Estrella de Panamá,6,5,1,84,9,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:35:16,5
64,2,1,3.0,,,,AUTENTICACIÓN DE CARTA DE RESPONSABILIDAD DIRIGIDA AL DGI,GASTOS NOTARIALES,22,44,0,,9,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:40:03,5
65,1,1,3.0,,,,AUTENTICACIÓN DE CARTA DE AUTORIZACIÓN DEL TRIBUNAL ELECTORAL PARA SOLICITUD DE AUTENTICACIÓN DE COPIA DE CÉDULA DE JORGE TOVAR,GASTOS NOTARIALES,22,44,0,,9,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:41:21,5
66,1,1,6.0,,,,"AUTENTICACIÓN DE PODER DE GALET, S.A. Y CRYSTAL HOUSE PARA PRESENTACIÓN DE REGLAMENTOS ",GASTOS NOTARIALES,4,12,1,,9,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:42:55,5
67,1,1,3.0,,,,AUTENTICACIÓN DE AUTORIZACIÓN PARA SOLICITAR PAZ Y SALVO ANTE LA DGI,GASTOS NOTARIALES,22,52,0,,,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:52:34,5
68,1,1,6.0,,,,AUTENTICACIÓN DE PODER ESPECIAL Y AUTORIZACIÓN PARA TRÁMITE DE ACTUALIZACIÓN DE CORREO EN RUC ,GASTOS NOTARIALES,22,51,1,56,,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:55:16,5
69,7,1,8.0,,,,CARGO POR MENSAJERÍA (AUTENTICACIONES) ,MENSAJERÍA ,4,12,1,,,2019-09-06,,,0,0,0,0,,0,0,0,2019-09-06 14:57:39,5
70,1,1,10.0,,,,Cotejo de Recibo de Utilidad y Contrato de Trabajo,GASTOS NOTARIALES ,22,44,0,,,2019-09-10,,,0,0,0,0,,0,0,0,2019-09-10 17:05:09,5
71,7,1,8.0,,,,Pago en concepto de mensajería Notaria Octava,MENSAJERÍA,22,44,0,,,2019-09-10,,,0,0,0,0,,0,0,0,2019-09-10 17:05:54,5
72,1,1,3.0,,,,Autenticación de firma en carta de responsabilidad para Migración,GASTOS NOTARIALES ,22,44,0,,,2019-09-10,,,0,0,0,0,,0,0,0,2019-09-10 17:09:07,5
73,2,1,10.0,,,,COTEJO DE PASAPORTE COMPLETO ,GASTOS NOTARIALES ,17,31,1,,,2019-09-10,,,0,0,0,0,,0,0,0,2019-09-10 17:10:44,5
74,7,1,8.0,,,,Mensajería cotejo de documentos,Mensajería,22,44,0,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:29:21,5
75,7,1,25.0,,,,"Gasto de mensajería por cierre, inscripción de Escritura Pública ante el Registro Público y retiro de la misma. ",Mensajería,21,43,1,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:37:09,5
76,7,1,6.0,,,,Retiro de documentación ,Mensajería,20,50,1,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:39:01,5
77,7,1,6.0,,,,Autenticación de cédula de Jorge Tovar,Tribunal Electoral,22,44,0,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:42:13,5
78,7,1,10.0,,,,Pago por trámite de autenticación de cédula ante el Tribunal Electoral,Mensajería,22,44,0,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:43:44,5
80,7,1,15.0,,,,Pago a Diomedes por trámite de Registro de Mercedes ,Pagos a terceros,17,31,1,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:47:44,5
81,7,1,25.0,,,,Pago a Diomedes por presentación de expediente en categoría de doméstica en Migración ,Pagos a terceros,17,31,1,,,2019-09-13,,,0,0,0,0,,0,0,0,2019-09-13 09:48:33,5
82,4,1,30.0,,,,certificado de registro publico global bank,Registro Público,17,,0,,,2019-09-16,,,0,0,0,0,,0,0,0,2019-09-16 16:29:57,4
83,1,1,10.0,,,,Cotejo de pasaporte de Ruby con sello de Registro,GASTOS NOTARIALES,22,44,0,,,2019-09-19,,,0,0,0,0,,0,0,0,2019-09-19 17:10:45,5
84,1,1,5.0,,,,Cotejo de Carné de Seguro Social de Ruby,GASTOS NOTARIALES,22,44,0,,,2019-09-19,,,0,0,0,0,,0,0,0,2019-09-19 17:12:02,5
85,7,1,5.0,,,,Tramites varios (notaria),MENSAJERÍA,22,44,0,,,2019-09-19,,,0,0,0,0,,0,0,0,2019-09-19 17:44:10,5
86,2,1,3.0,,,,Autenticación de Carta de Responsabilidad corregida fecha,GASTOS NOTARIALES,22,52,0,,,2019-09-19,,,0,0,0,0,,0,0,0,2019-09-19 17:47:00,5
87,3,1,5.0,,,,,MENSAJERÍA,22,52,0,,,2019-09-19,,,0,0,0,0,,0,0,0,2019-09-19 18:06:03,5
88,4,1,30.0,,,,,Registro Público,6,37,1,95,,2019-09-20,,,0,0,0,0,,0,0,0,2019-09-20 12:34:11,4
94,7,1,15.0,,,,,COMPRA DE CERTIFICADO DE SALUD ,,,0,,,2019-09-23,,,0,0,0,0,,0,0,0,2019-09-23 17:44:05,5
95,7,1,15.0,,,,,COMPRA DE CERTIFICADO DE SALUD,22,44,0,,,2019-09-23,,,0,0,0,0,,0,0,0,2019-09-23 17:46:06,5
96,7,1,15.0,,,,REGISTRO DE RUBY ANTE MIGRACIÓN,REGISTRO DE RUBY ,22,44,0,,,2019-09-23,,,0,0,0,0,,0,0,0,2019-09-23 17:46:45,5
97,7,1,25.0,,,,,PRESENTACIÓIN DE EXPEDIENTE ANTE MIGRACIÓN ,22,44,0,,,2019-09-23,,,0,0,0,0,,0,0,0,2019-09-23 17:48:18,5
98,9,1,50.0,,,,PAGO POR DERECHOS DE FOTO DE CARNÉ DE PRÓRROGA DE MARIA CONCEPCIÓN,DERECHOS POR FOTO DE CARNÉ ,18,32,0,,,2019-09-23,,,0,0,0,0,,0,0,0,2019-09-23 17:51:07,5
100,1,1,11.0,,,,AUTENTICACIÓN DE AUTORIZACIÓN PARA RETIRO DE FIANZA,GASTOS NOTARIALES ,3,2,1,,,2019-09-24,,,0,0,0,0,,0,0,0,2019-09-24 15:41:19,5
101,10,1,10.0,,,,Trámite ante Contrataciones Públicas (Devolución de Fianza),Gastos Administrativos ,3,2,1,,,2019-09-24,,,0,0,0,0,,0,0,0,2019-09-24 15:45:23,5
102,4,1,30.0,,,,CRP. Banco Delta,Registro Público,6,55,1,97,,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 11:42:32,4
103,4,1,30.0,,,,CRP Banco Delta,Registro Público,6,57,1,98,,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 11:43:13,4
104,4,1,30.0,,,,CRP. FINCA,Registro Público,6,55,1,97,,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 11:43:57,4
105,4,1,30.0,,,,CRP FINCA,Registro Público,6,57,1,98,,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 11:44:38,4
106,4,1,30.0,,,,CRP sociedad,Registro Público,6,57,1,98,,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 11:45:14,4
107,7,1,250.0,,,#363703699,Pago a abogada corresponsal en Chiriquí por presentación de solicitud desistimiento de IBW Río Sereno en la Zona Franca de Barú,Pago a Lic. Mónica Arauz,23,60,0,,1,2019-09-25,,,0,0,0,0,,0,0,0,2019-09-25 15:52:34,3
108,4,1,10.0,,,,Hoja adicional,Registro Público,6,57,1,98,,2019-09-27,,,0,0,0,0,,0,0,0,2019-09-27 19:03:54,4
109,4,1,40.0,,,,Certificado de Registro Público,Registro Público,6,35,1,76,9,2019-08-08,,,0,0,0,0,,0,0,0,2019-10-01 17:01:09,4
110,1,1,6.0,,,,Autenticación de Poder,Notaria,6,35,1,93,9,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:01:50,4
111,7,1,0.45,,,,Copias,Copias de Juzgado,6,35,1,93,9,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:02:31,4
112,4,1,40.0,,,,Certificado de Registro Público,Registro Público,6,36,1,94,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:07:18,4
113,7,1,0.96,,,,Copias en Tribunal,Copias de Juzgado,6,36,1,94,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:09:36,4
114,2,1,6.0,,,,Autenticación de poder,Registro Público,6,36,1,94,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:10:12,4
115,7,1,0.6,,,,,Copias de Juzgado,6,39,1,102,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:11:44,4
116,2,1,6.0,,,,,Autenticación de Poder,6,39,1,102,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:12:30,4
117,7,1,0.6,,,,,Copias de Juzgado,6,34,1,92,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:13:32,4
118,1,1,6.0,,,,,Autenticación de Poder,6,34,1,92,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:13:50,4
119,1,1,6.0,,,,,Autenticación de Poder,6,33,1,91,9,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:14:56,4
120,4,1,30.0,,,,Certificado de Registro Público,Registro Público,6,45,1,148,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:15:49,4
121,1,1,6.0,,,,,Autenticación de Poder,6,45,1,148,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:16:16,4
122,1,1,6.0,,,,,Autenticación de Poder,6,38,1,96,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:17:07,4
123,7,1,8.1,,,,,Copias de Juzgado,6,,1,88,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:18:04,4
124,4,1,70.0,,,,Certificados de Registro Público Sociedad y Finca,Registro Público,6,,1,77,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:18:34,4
125,4,1,100.0,,,,Certificados de Registro Público,Registro Público,6,,1,71,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:19:38,4
126,4,1,100.0,,,,Certificado de Registro Público,Registro Público,6,5,1,75,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:22:07,4
127,7,1,1.8,,,,,Copias de Juzgado,6,5,1,90,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:22:33,4
128,7,1,0.6,,,,,Copias de Juzgado,6,57,1,98,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:23:15,4
129,7,1,0.62,,,,,Estacionamiento,6,57,1,98,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:23:36,4
130,4,1,10.0,,,,Hoja adicional,Registro Público,6,55,1,97,9,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:24:15,4
131,1,1,6.0,,,,,Autenticación de Poder,6,55,1,97,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:24:34,4
132,2,1,6.0,,,,,Autenticación de Poder,6,62,1,100,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:28:53,4
133,4,1,70.0,,,,,Certificado de Registro Público,6,61,1,99,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:29:47,4
134,2,1,6.0,,,,,Autenticación de Poder,6,61,1,84,,2019-10-01,,,0,0,0,0,,0,0,0,2019-10-01 17:30:04,4
135,2,1,3.0,,,,Autenticación de Poder ,GASTOS NOTARIALES ,19,64,1,,,2019-09-27,,,0,0,0,0,,0,0,0,2019-10-02 09:51:36,5
136,4,1,30.0,,,,Solicitud de Certificado de la Finca ante el Registro Público de Panamá ,REGISTRO PÚBLICO,19,64,1,,,2019-09-27,,,0,0,0,0,,0,0,0,2019-10-02 09:52:22,5
137,4,1,30.0,,,,,Certificado de Registro Público,27,,0,,,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-04 11:09:28,4
138,4,1,10.0,,,,Pago adicional certificado de registro público,Registro Público,6,61,1,99,10,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-04 15:33:12,4
139,4,1,125.0,,,,,Levantamiento de Secuestro,6,67,1,70,9,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-04 15:34:31,4
140,7,1,30.66,,,,,Publicación en La Estrella de Panamá,6,45,1,148,,2019-10-08,,,0,0,0,0,,0,0,0,2019-10-08 14:51:41,4
141,7,1,21.88,,,,,Publicación en La Estrella de Panamá,6,5,1,90,,2019-10-08,,,0,0,0,0,,0,0,0,2019-10-08 14:52:10,4
144,7,1,140.0,,,,PAGO EN BANCO NACIONAL DE DERECHO DE PRESENTACIÓN DE MARCA,PAGO EN CONCEPTO DE PRESENTACIÓN DE MARCA ,31,58,0,,,2019-10-09,,,0,0,0,0,,0,0,0,2019-10-09 11:15:37,5
145,7,1,152.5,,,,PAGO EN BANCO NACIONAL ,GASTOS POR REGISTRO DE MARCA ,13,15,0,,,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:20:22,5
146,7,1,152.5,,,,PAGO EN BANCO NACIONAL,GASTO POR REGISTRO DE MARCA ,13,40,0,,1,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:21:39,5
147,7,1,4.5,,,,PAGO DIOMEDES PRESENTACIÓN,GASTOS ADMINISTRATIVOS,13,40,0,,,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:24:11,5
148,7,1,4.5,,,,PAGO DIOMEDES PRESENTACIÓN DE MARCA FENOMENA ,GASTOS ADMINISTRATIVOS ,31,58,0,,,2019-10-09,,,0,0,0,0,,0,0,0,2019-10-09 11:25:43,5
149,7,1,4.5,,,,Pago a Diomedes en concepto de presentación de marca ,Gastos Administrativos,13,15,0,,1,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:28:56,5
150,7,1,140.5,,,,PAGO EN BANCO NACIONAL ,PAGO POR REGISTRO DE MARCA ,33,69,0,,1,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:32:13,5
151,7,1,4.5,,,,PAGO A DIOMEDES POR PRESENTACIÓN DE MARCA ,GASTOS ADMINISTRATIVOS ,33,69,1,46,1,2019-10-04,,,0,0,0,0,,0,0,0,2019-10-09 11:32:55,5
152,4,1,65.0,,,,GASTO POR DERECHO DE INSCRIPCIÓN DE ESCRITURA PÚBLICA NO. 15268 DEL 1ERO DE OCTUBRE DE 2019,GASTOS REGISTRO PÚBLICO ,34,65,0,,2,2019-10-03,,,0,0,0,0,,0,0,0,2019-10-09 12:11:45,5
153,4,1,65.0,,,,INSCRIPCIÓN DE ESCRITURA PÚBLICA NO. 15057 DEL 27 DE SEPTIEMBRE DE 2019,GASTOS REGISTRO PÚBLICO,15,27,0,,,2019-10-02,,,0,0,0,0,,0,0,0,2019-10-09 12:22:24,5
154,7,1,21.88,,,,,Publicación en La Estrella de Panamá,6,38,1,96,9,2019-10-09,,,0,0,0,0,,0,0,0,2019-10-09 12:22:43,4
155,1,1,8.0,,,,"CIERRE DE ESCRITURA PÚBLICA NO. 15057 DEL 27/09/2019<br />
TESTIGOS DE NOTARIA",GASTOS NOTARIALES,15,27,0,,,2019-10-02,,,0,0,0,0,,0,0,0,2019-10-09 12:26:45,5
157,11,1,24.0,,,,FRANQUEO DE  ESCRITURA NO. 15057 DEL 27/09/2019,TIMBRES,15,27,0,,9,2019-10-02,,,0,0,0,0,,0,0,0,2019-10-09 12:40:42,5
